 written on  9Dec2025 at 07:20:25 
  -1.9379489119000000        1.9379489119000000        6.4363736866999997     
   1.9379489119000000       -1.9379489119000000        6.4363736866999997     
   1.9379489119000000        1.9379489119000000       -6.4363736866999997     
           3
         733
    2    1    1    1    1    1    1    1    2    2    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    2    2    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    2    2    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    2    2    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    2    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    2    2    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    2    2    1    1    1    1    1    1    1    2

   -8    0   -6
    1    1   -0.14191078E-06 -0.20690108E-11
    2    1   -0.53347070E-06 -0.25849526E-11
    3    1    0.50338760E-05 -0.11461206E-10
    1    2   -0.53346946E-06 -0.33993733E-11
    2    2   -0.14191002E-06 -0.53772178E-12
    3    2    0.50338767E-05 -0.10758913E-10
    1    3    0.50338740E-05 -0.28697200E-11
    2    3    0.50338771E-05 -0.11730527E-10
    3    3    0.12432208E-03  0.19270297E-11

   -7   -3   -9
    1    1    0.17357725E-05 -0.13594568E-11
    2    1    0.27273522E-05 -0.18640076E-11
    3    1   -0.87666764E-05 -0.13624421E-10
    1    2    0.27273513E-05 -0.12144972E-11
    2    2   -0.23843824E-05 -0.22406643E-11
    3    2   -0.95039235E-05 -0.57715993E-11
    1    3   -0.87666807E-05 -0.11636326E-10
    2    3   -0.95039219E-05 -0.83250840E-11
    3    3    0.75003723E-04 -0.35052117E-11

   -7   -2   -8
    1    1   -0.46336648E-05  0.45862793E-12
    2    1   -0.59063971E-05  0.24391354E-12
    3    1   -0.85551323E-05  0.93073639E-11
    1    2   -0.59063981E-05 -0.35341154E-13
    2    2   -0.18399871E-04 -0.15013945E-11
    3    2   -0.10951308E-06 -0.25698658E-11
    1    3   -0.85551299E-05  0.93952413E-11
    2    3   -0.10951290E-06  0.31270011E-11
    3    3    0.24780049E-04  0.15954790E-11

   -7   -1   -7
    1    1    0.42001086E-05  0.15689654E-11
    2    1   -0.58074197E-05  0.19328835E-11
    3    1   -0.21549365E-04  0.14561704E-11
    1    2   -0.58074184E-05  0.22590690E-11
    2    2   -0.23454653E-04  0.20859564E-11
    3    2    0.15690279E-04  0.11415251E-10
    1    3   -0.21549361E-04  0.30683853E-11
    2    3    0.15690284E-04  0.43368918E-11
    3    3   -0.22930872E-05  0.12902804E-11

   -7   -1   -6
    1    1    0.85528080E-05 -0.91821776E-12
    2    1   -0.70952136E-06 -0.13006482E-11
    3    1   -0.13653622E-05 -0.12424398E-10
    1    2   -0.70952147E-06 -0.26356521E-11
    2    2    0.66691581E-05 -0.25120296E-11
    3    2    0.81298532E-06 -0.96082992E-11
    1    3   -0.13653681E-05 -0.94885548E-11
    2    3    0.81298271E-06 -0.12551132E-10
    3    3   -0.19748433E-05  0.60079042E-11

   -7    0   -6
    1    1    0.17267393E-05 -0.29765591E-11
    2    1   -0.11153575E-05 -0.29869358E-11
    3    1   -0.12381645E-04 -0.10109242E-10
    1    2   -0.11153597E-05 -0.27864979E-11
    2    2   -0.20067612E-04 -0.29675351E-11
    3    2    0.13126753E-05 -0.11539629E-10
    1    3   -0.12381650E-04 -0.13074123E-10
    2    3    0.13126746E-05 -0.85808125E-11
    3    3    0.59436401E-04 -0.77905694E-11

   -7    0   -5
    1    1    0.26108216E-05  0.25620651E-12
    2    1    0.21675168E-05  0.19899730E-11
    3    1   -0.99454348E-05  0.90325468E-11
    1    2    0.21675162E-05  0.25476427E-11
    2    2   -0.45210057E-05 -0.94983049E-13
    3    2   -0.23487590E-05  0.52825497E-11
    1    3   -0.99454306E-05  0.90641315E-11
    2    3   -0.23487635E-05  0.13404307E-10
    3    3    0.35335975E-04 -0.39516272E-11

   -7    0   -4
    1    1   -0.61085422E-05 -0.14674321E-11
